"","V1","V2","V3","V4"
"newton_result",-24.8030184539243,-0.378137473254628,10,2
"newton_result",62.7064128357597,-0.881801170675572,4,0
"newton_result",-24.8030184541692,-0.378137473254628,6,2
"newton_result",-53.4646554551646,0.091988882088458,8,1
"newton_result",-0.0971995285119776,-2.5091643336866e-07,6,3
"newton_result",-24.8030184575084,-0.378137473254628,6,2
"newton_result",-3.99699423712701,0.00026788571826573,44,3
"newton_result",62.7064128612772,-0.881801170675572,10,0
"newton_result",-0.0971995289117104,-2.50916433368658e-07,6,3
"newton_result",-0.0971995426621893,-2.50916433368666e-07,6,3
"newton_result",-0.0971995447128623,-2.50916433368665e-07,8,3
"newton_result",-24.8030195985846,-0.378137473254616,6,2
"newton_result",51.1,-0.0194340217289896,38,0
"newton_result",-12.1,-0.0180322189934502,40,3
"newton_result",-0.0971995447433037,-2.50916433368665e-07,10,3
"newton_result",-0.0971990855754739,-2.50916433363086e-07,2,3
"newton_result",70.9,-0.210005103569468,38,0
"newton_result",-32.9,0.177114427339489,38,2
"newton_result",-10.1,-0.00594501450438864,40,3
"newton_result",75.9,0.125526044725074,38,0
"newton_result",-0.0971995289117104,-2.50916433368659e-07,6,3
"newton_result",-0.0971995261137865,-2.50916433368657e-07,6,3
"newton_result",-24.8030195985846,-0.378137473254616,6,2
"newton_result",62.7064128346226,-0.881801170675572,8,0
"newton_result",-0.0971995447433037,-2.50916433368665e-07,10,3
"newton_result",-35.5,0.373942500947517,38,2
"newton_result",-13.9,-0.0399561332784509,40,2
"newton_result",-0.0971995447758324,-2.50916433368666e-07,6,3
"newton_result",-0.097199520535825,-2.5091643336865e-07,6,3
"newton_result",-0.0971995289117104,-2.50916433368658e-07,6,3
"newton_result",-0.0971994907406122,-2.50916433368589e-07,6,3
"newton_result",-33.5,0.231775332743539,38,2
"newton_result",-0.0971995289117104,-2.50916433368659e-07,6,3
"newton_result",-53.4646554551646,0.091988882088458,8,1
"newton_result",-35.5,0.373942500947517,38,2
"newton_result",69.9,-0.314836948743863,38,0
"newton_result",-53.4646558925982,0.0919888820884572,16,1
"newton_result",-24.8030184621855,-0.378137473254628,6,2
"newton_result",-0.0971995289117104,-2.50916433368659e-07,6,3
"newton_result",-0.0971995447758324,-2.50916433368666e-07,6,3
"newton_result",-0.0971995289117104,-2.50916433368658e-07,6,3
"newton_result",-0.0971995289117104,-2.50916433368658e-07,6,3
"newton_result",-0.0971995099959166,-2.50916433368633e-07,6,3
"newton_result",-0.0971995447128623,-2.50916433368665e-07,8,3
"newton_result",-32.9,0.177114427339489,38,2
"newton_result",-53.4646530185014,0.0919888820884677,8,1
"newton_result",-19.4,-0.208828039088809,38,2
"newton_result",-0.0971995289117104,-2.50916433368659e-07,6,3
"newton_result",-24.8030237877967,-0.378137473254365,4,2
"newton_result",44.5,0.0684123072904773,38,0
"newton_result",-34.5,0.311708169035305,38,2
"newton_result",-0.0971994907406122,-2.50916433368589e-07,6,3
"newton_result",62.7064128346228,-0.881801170675572,4,0
"newton_result",-0.0971990855754739,-2.50916433363086e-07,2,3
"newton_result",-53.4646568335844,0.0919888820884564,8,1
"newton_result",54.1,-0.211883397945574,38,0
"newton_result",44.5,0.0684123072904773,38,0
"newton_result",-24.8030195985846,-0.378137473254616,6,2
"newton_result",-0.0971995279983251,-2.50916433368658e-07,6,3
"newton_result",-12.9,-0.0261761825658601,40,2
"newton_result",-42.5,0.316161426695772,38,1
"newton_result",-0.0971995289117104,-2.50916433368659e-07,6,3
"newton_result",-53.4646530185014,0.0919888820884677,8,1
"newton_result",-0.0971980261984436,-2.50916433307646e-07,6,3
"newton_result",-0.0971995288738976,-2.5091643336866e-07,6,3
"newton_result",-31.9,0.0788034888681367,38,2
"newton_result",-36.9,0.426768379711698,38,2
"newton_result",-13.9,-0.0399561332784509,40,2
"newton_result",-0.0971995447758324,-2.50916433368666e-07,6,3
"newton_result",55.1,-0.302557450565532,38,0
"newton_result",-53.4646565688806,0.0919888820884565,16,1
"newton_result",-53.4646550717228,0.091988882088459,6,1
"newton_result",-53.4646558925982,0.0919888820884572,16,1
"newton_result",-24.8030195985846,-0.378137473254616,6,2
"newton_result",-0.0971995289117104,-2.50916433368659e-07,6,3
"newton_result",-0.0971995447433037,-2.50916433368665e-07,10,3
"newton_result",-0.0971995156349375,-2.50916433368643e-07,6,3
"newton_result",44.5,0.0684123072904773,38,0
"newton_result",-12.9,-0.0261761825658601,40,2
"newton_result",-0.0971995289117104,-2.50916433368659e-07,6,3
"newton_result",-0.0971995289117104,-2.50916433368658e-07,6,3
"newton_result",-11.6,-0.0140319385318643,40,3
"newton_result",62.7064128346227,-0.881801170675572,12,0
"newton_result",54.1,-0.211883397945574,38,0
"newton_result",73.9,0.032381202469198,38,0
"newton_result",-0.097198533518482,-2.50916433341607e-07,6,3
"newton_result",73.9,0.032381202469198,38,0
"newton_result",-14.9,-0.058492117196544,38,2
"newton_result",-7.99621078542341,-0.00105720310372368,40,3
"newton_result",62.7064128346226,-0.881801170675572,6,0
"newton_result",-0.0971995289117104,-2.50916433368659e-07,4,3
"newton_result",-33.5,0.231775332743539,38,2
"newton_result",-0.0971995281178962,-2.50916433368658e-07,6,3
"newton_result",-53.4646565688806,0.0919888820884565,16,1
"newton_result",-33.9,0.265624279563003,38,2
"newton_result",-18.6767726223628,-0.178236148751644,40,2
"newton_result",-53.464656912043,0.0919888820884564,6,1
"newton_result",-0.0971995289117104,-2.50916433368659e-07,6,3
"newton_result",-0.0971995289117104,-2.50916433368659e-07,6,3
"newton_result",52.1,-0.0694464355409208,36,0
