"","V1","V2","V3","V4"
"newton_result",-0.0971994977500705,-2.50916433368608e-07,6,3
"newton_result",62.7064128346655,-0.881801170675572,6,0
"newton_result",-24.8030184539463,-0.378137473254628,6,2
"newton_result",-53.4646569124486,0.0919888820884564,4,1
"newton_result",-0.0971995435613165,-2.50916433368665e-07,10,3
"newton_result",-32.5,0.138618551180833,38,2
"newton_result",-0.0971995275654873,-2.50916433368658e-07,6,3
"newton_result",74.5,0.0657654617117719,38,0
"newton_result",-24.8030184549548,-0.378137473254628,12,2
"newton_result",-14.5,-0.0504595404991101,40,2
"newton_result",-0.0971994729719522,-2.5091643336853e-07,6,3
"newton_result",-24.80301845524,-0.378137473254628,12,2
"newton_result",44.5,0.0684123072904773,38,0
"newton_result",-5.5,0.000274553405709061,38,3
"newton_result",-0.0971995284264213,-2.50916433368658e-07,6,3
"newton_result",-0.0971995447758324,-2.50916433368666e-07,6,3
"newton_result",77.5,0.168115771101902,38,0
"newton_result",-39.5,0.423017293744209,38,1
"newton_result",-24.8030184549007,-0.378137473254628,8,2
"newton_result",62.7064129192567,-0.881801170675572,4,0
"newton_result",-8.3,-0.00146009748482603,40,3
"newton_result",-0.0971995254541626,-2.50916433368656e-07,8,3
"newton_result",-24.80301845524,-0.378137473254628,12,2
"newton_result",62.7064128346227,-0.881801170675572,12,0
"newton_result",-0.0971995284264213,-2.50916433368658e-07,6,3
"newton_result",-16.878617744517,-0.111460832074207,40,2
"newton_result",-24.8030223201078,-0.37813747325449,8,2
"newton_result",-0.0971995315578741,-2.50916433368661e-07,6,3
"newton_result",-0.0971995287628578,-2.50916433368659e-07,8,3
"newton_result",-0.0971941832782001,-2.50916432608057e-07,10,3
"newton_result",-0.0971995060458526,-2.50916433368626e-07,6,3
"newton_result",-53.464656704682,0.0919888820884564,16,1
"newton_result",-24.8030230209171,-0.378137473254435,6,2
"newton_result",-0.0971995278402512,-2.50916433368658e-07,6,3
"newton_result",-16.878617744517,-0.111460832074207,40,2
"newton_result",76.5,0.144289869518594,38,0
"newton_result",-0.0971989136142251,-2.50916433358124e-07,6,3
"newton_result",-33.5,0.231775332743539,38,2
