"","V1","V2","V3","V4"
"lagrange_result","-8.32391144975628e-06","-4.30520758935019e-11","2","3"
"lagrange_result","62.706371768122","-0.881801170650241","8","0"
"lagrange_result","-24.8029328017041","-0.378137473186762","14","2"
"lagrange_result","-53.4647296602377","0.0919888820923975","14","1"
"lagrange_result","-0.0973332054664444","-2.50915960661373e-07","16","3"
"lagrange_result","-24.8030137913919","-0.378137473254427","20","2"
"lagrange_result","-3.98322798821065e-07","-2.0602553422221e-12","2","3"
"lagrange_result","62.706436412981","-0.881801170667222","12","0"
"lagrange_result","-24.8030043101945","-0.378137473252777","20","2"
"lagrange_result","-24.8029802770018","-0.378137473241145","22","2"
"lagrange_result","-53.4649007081796","0.0919888821327242","58","1"
"lagrange_result","-24.8029739844917","-0.378137473236334","16","2"
"lagrange_result",NA,NA,NA,NA
"lagrange_result","-24.8029866654091","-0.37813747324528","20","2"
"lagrange_result","-1.27370086344148e-07","-6.58805392470915e-13","2","3"
"lagrange_result","-0.097205774419352","-2.50916432341804e-07","10","3"
"lagrange_result",NA,NA,NA,NA
"lagrange_result","-53.4649963491194","0.0919888821742702","66","1"
"lagrange_result","-24.8029796249177","-0.378137473240681","16","2"
"lagrange_result","62.7064011986437","-0.881801170673539","6","0"
"lagrange_result","-24.8029419519811","-0.378137473200488","28","2"
"lagrange_result","-0.0972411715593579","-2.50916387519438e-07","8","3"
"lagrange_result","-24.8029739844917","-0.378137473236334","16","2"
"lagrange_result",NA,NA,NA,NA
"lagrange_result","-1.27370086344148e-07","-6.58805392470915e-13","2","3"
"lagrange_result","-0.0972923413485662","-2.50916205518452e-07","22","3"
"lagrange_result","-24.8029577685197","-0.37813747322056","20","2"
"lagrange_result","-0.0972487006850482","-2.50916369433808e-07","14","3"
"lagrange_result","-0.0971495087319439","-2.50916367123504e-07","14","3"
"lagrange_result","-0.097217272351582","-2.50916425053227e-07","10","3"
"lagrange_result","-53.4648490993267","0.0919888821159656","52","1"
"lagrange_result","-0.0973384118297067","-2.50915923118377e-07","24","3"
"lagrange_result","-24.802968974091","-0.37813747323198","20","2"
"lagrange_result","-0.0971103373819336","-2.50916222801559e-07","14","3"
"lagrange_result","-0.0972923413485662","-2.50916205518452e-07","22","3"
"lagrange_result",NA,NA,NA,NA
"lagrange_result","-0.097110151208573","-2.50916221921746e-07","14","3"
"lagrange_result","-24.802951220167","-0.378137473212811","18","2"
"lagrange_result","-53.4649325405743","0.0919888821450392","74","1"
"lagrange_result","-24.8030149066618","-0.378137473254512","20","2"
"lagrange_result","-0.097217272351582","-2.50916425053227e-07","10","3"
"lagrange_result","-53.4649754272027","0.0919888821640175","68","1"
"lagrange_result","-0.0971223407184512","-2.50916275655159e-07","14","3"
"lagrange_result","-53.4649007081796","0.0919888821327242","58","1"
"lagrange_result","-53.4649963491194","0.0919888821742702","66","1"
"lagrange_result","-53.4647733042166","0.0919888820985455","24","1"
"lagrange_result","-24.8030035849697","-0.378137473252583","14","2"
