"","V1","V2","V3","V4"
"1",-79,-79.3,228.2,13
"2",58,57.7,77.2,9
"3",-21,-40.2,-20.7,9
"4",-55,-55.3,-50.2,7
"5",-64,-64.3,-44.8,9
"6",-7,-83.8,-6.7,11
"7",-82,-82.3,225.2,13
"8",49,48.7,125.8,11
"9",81,-226.2,81.3,13
"10",11,-65.8,11.3,11
"11",-46,-122.8,-45.7,11
"12",-28,-28.3,-8.8,9
"13",70,50.8,70.3,9
"14",-31,-31.3,45.8,11
"15",-83,-83.3,224.2,13
"16",-1,-1.3,3.8,7
"17",52,51.7,128.8,11
"18",-14,-33.2,-13.7,9
"19",-29,-29.3,-9.8,9
"20",57,56.7,76.2,9
"21",94,-213.2,94.3,13
"22",-67,-67.3,-47.8,9
"23",-28,-28.3,-8.8,9
"24",61,60.7,65.8,7
"25",-83,-83.3,224.2,13
"26",41,-35.8,41.3,11
"27",5,-71.8,5.3,11
"28",-4,-4.3,15.2,9
"29",-69,-69.3,238.2,13
"30",100,-207.2,100.3,13
"31",-47,-123.8,-46.7,11
"32",43,-33.8,43.3,11
"33",79,-228.2,79.3,13
"34",26,-50.8,26.3,11
"35",41,-35.8,41.3,11
"36",51,50.7,127.8,11
"37",-77,-77.3,230.2,13
"38",-8,-84.8,-7.7,11
"39",-42,-118.8,-41.7,11
"40",77,-230.2,77.3,13
"41",100,-207.2,100.3,13
"42",-44,-120.8,-43.7,11
"43",-71,-71.3,236.2,13
"44",-46,-122.8,-45.7,11
"45",-14,-33.2,-13.7,9
"46",-51,-70.2,-50.7,9
"47",-5,-81.8,14.2,11
"48",-41,-117.8,-40.7,11
"49",-20,-39.2,-19.7,9
"50",-32,-32.3,275.2,13
"51",42,-34.8,42.3,11
"52",-47,-123.8,-46.7,11
"53",62,61.7,66.8,7
"54",-1,-1.3,3.8,7
"55",-74,-74.3,233.2,13
"56",73,-3.8,73.3,11
"57",-32,-32.3,275.2,13
"58",-28,-28.3,-8.8,9
"59",-2,-2.3,2.8,7
"60",6,-70.8,6.3,11
"61",34,-42.8,34.3,11
"62",-94,-94.3,213.2,13
"63",21,-55.8,21.3,11
"64",-48,-67.2,-47.7,9
"65",-60,-60.3,-40.8,9
"66",-13,-32.2,-12.7,9
"67",-18,-37.2,-17.7,9
"68",5,-71.8,5.3,11
"69",77,-230.2,77.3,13
"70",74,-233.2,74.3,13
"71",-78,-78.3,229.2,13
"72",-57,-57.3,-37.8,9
"73",-77,-77.3,230.2,13
"74",-28,-28.3,-8.8,9
"75",82,-225.2,82.3,13
"76",-83,-83.3,224.2,13
"77",-70,-70.3,237.2,13
"78",-32,-32.3,275.2,13
"79",6,-70.8,6.3,11
"80",96,-211.2,96.3,13
"81",81,-226.2,81.3,13
"82",46,45.7,122.8,11
"83",48,47.7,124.8,11
"84",73,-3.8,73.3,11
"85",55,54.7,74.2,9
"86",8,-68.8,8.3,11
"87",55,54.7,74.2,9
"88",4,-72.8,4.3,11
"89",14,-62.8,14.3,11
"90",59,58.7,78.2,9
"91",0,-0.3,0.3,3
"92",43,-33.8,43.3,11
"93",-65,-65.3,-45.8,9
"94",-78,-78.3,229.2,13
"95",-15,-34.2,-14.7,9
"96",-80,-80.3,227.2,13
"97",-53,-54.2,-52.7,5
"98",78,-229.2,78.3,13
"99",85,-222.2,85.3,13
"100",71,51.8,71.3,9
