"","V1","V2","V3","V4"
"lagrange_result","-0.0971101031688263","-2.50916221694422e-07","18","3"
"lagrange_result","62.706403692711","-0.881801170674317","8","0"
"lagrange_result",NA,NA,NA,NA
"lagrange_result","-53.4646864546221","0.0919888820891061","14","1"
"lagrange_result","-53.4649465645645","0.0919888821509437","50","1"
"lagrange_result","-53.4649284812075","0.0919888821433848","62","1"
"lagrange_result","62.7064089161615","-0.881801170675342","20","0"
"lagrange_result",NA,NA,NA,NA
"lagrange_result","-0.0972775444256063","-2.50916272388969e-07","20","3"
"lagrange_result","-24.8029373472657","-0.378137473193774","18","2"
"lagrange_result","-53.4649316170945","0.0919888821446607","58","1"
"lagrange_result",NA,NA,NA,NA
"lagrange_result","62.7064122074066","-0.881801170675566","12","0"
"lagrange_result","-0.0972473706833087","-2.50916372846747e-07","20","3"
"lagrange_result","62.7086655965701","-0.881801094448585","14","0"
"lagrange_result","-0.0972319675394664","-2.5091640555319e-07","10","3"
"lagrange_result",NA,NA,NA,NA
"lagrange_result","-24.8029274905704","-0.378137473178085","10","2"
"lagrange_result","-24.802920997876","-0.378137473166768","16","2"
"lagrange_result","62.7066046320713","-0.881801170123036","8","0"
"lagrange_result","-0.0970973912796702","-2.50916157250167e-07","14","3"
"lagrange_result","-53.464858185587","0.0919888821186283","42","1"
"lagrange_result",NA,NA,NA,NA
"lagrange_result","62.7063692123941","-0.88180117064699","6","0"
"lagrange_result","62.7086655965701","-0.881801094448585","14","0"
"lagrange_result","-0.0955579160024807","-2.50845120991371e-07","248","3"
"lagrange_result",NA,NA,NA,NA
"lagrange_result","-0.0972577288446414","-2.50916343792127e-07","16","3"
"lagrange_result","-0.0972624054926238","-2.50916328813694e-07","18","3"
"lagrange_result","-0.0971039423649376","-2.50916191529511e-07","20","3"
"lagrange_result","-53.4649124774516","0.0919888821371015","46","1"
"lagrange_result","-0.0960093423495069","-2.50878949100859e-07","198","3"
"lagrange_result","-0.097268688464989","-2.50916306868518e-07","18","3"
"lagrange_result","-24.8029170705632","-0.378137473159544","24","2"
"lagrange_result","-0.0955579160024807","-2.50845120991371e-07","248","3"
"lagrange_result",NA,NA,NA,NA
"lagrange_result","-0.0971130445241224","-2.50916235387661e-07","18","3"
"lagrange_result","-53.4648761938312","0.0919888821242691","58","1"
"lagrange_result","-53.4649552562689","0.0919888821547502","76","1"
"lagrange_result","-0.0971278293774423","-2.50916297282687e-07","18","3"
"lagrange_result","-0.0971039423649376","-2.50916191529511e-07","20","3"
"lagrange_result","-53.4649685276379","0.0919888821607794","70","1"
"lagrange_result","-0.0972590820168489","-2.50916339577164e-07","20","3"
"lagrange_result","-53.4649316170945","0.0919888821446607","58","1"
"lagrange_result","-24.8029274905704","-0.378137473178085","10","2"
"lagrange_result","-53.4647169194563","0.0919888820911378","20","1"
"lagrange_result","-53.4648217822727","0.0919888821087009","40","1"
"lagrange_result","-53.4649286646779","0.0919888821434591","76","1"
"lagrange_result","-24.802944253201","-0.378137473203696","16","2"
"lagrange_result","-0.0966297539591731","-2.50907842684131e-07","110","3"
"lagrange_result","-0.0956841649566369","-2.50855668037776e-07","232","3"
"lagrange_result","-53.4649124774516","0.0919888821371015","46","1"
"lagrange_result","62.7065932240143","-0.881801170186811","4","0"
"lagrange_result","-0.0972319675394664","-2.5091640555319e-07","10","3"
"lagrange_result","-0.0972918612590177","-2.50916207869948e-07","18","3"
"lagrange_result","-0.0972867180815151","-2.50916232296162e-07","16","3"
"lagrange_result","-0.0966297539591731","-2.50907842684131e-07","110","3"
"lagrange_result",NA,NA,NA,NA
"lagrange_result","-0.0972056608972279","-2.50916432378887e-07","10","3"
"lagrange_result","-53.4649258915465","0.0919888821423422","54","1"
"lagrange_result","-0.0972696076973272","-2.50916303482647e-07","18","3"
"lagrange_result","62.7064127418135","-0.881801170675572","16","0"
"lagrange_result","-24.8030131174534","-0.378137473254365","18","2"
"lagrange_result","-53.4648849412249","0.0919888821271834","42","1"
"lagrange_result","-53.4648180088518","0.0919888821077848","26","1"
"lagrange_result","-24.8030008579364","-0.378137473251764","12","2"
"lagrange_result","-24.8029678424447","-0.378137473230932","16","2"
"lagrange_result",NA,NA,NA,NA
"lagrange_result","-0.0971278293774423","-2.50916297282687e-07","18","3"
"lagrange_result","-2.11988428911561e-05","-1.09635155713666e-10","6","3"
"lagrange_result","-0.0971102885536615","-2.50916222570986e-07","18","3"
"lagrange_result","-53.4648611132971","0.0919888821195125","38","1"
"lagrange_result","-0.0971130445241224","-2.50916235387661e-07","18","3"
"lagrange_result",NA,NA,NA,NA
"lagrange_result","-0.0972602109631872","-2.50916335986491e-07","20","3"
"lagrange_result","62.7086655965701","-0.881801094448585","14","0"
"lagrange_result","-0.0973108090202895","-2.50916105804403e-07","18","3"
"lagrange_result","-0.0966297539591731","-2.50907842684131e-07","110","3"
"lagrange_result","-53.4649258915465","0.0919888821423422","54","1"
"lagrange_result","-0.0971424188086981","-2.50916347020034e-07","16","3"
"lagrange_result","-0.0972775444256063","-2.50916272388969e-07","20","3"
"lagrange_result",NA,NA,NA,NA
"lagrange_result",NA,NA,NA,NA
"lagrange_result","-0.0972867180815151","-2.50916232296162e-07","16","3"
